Location,Job_Count,Percentage
Remote,81,53.64238410596026
Bangalore,31,20.52980132450331
Maharashtra,11,7.28476821192053
Hyderabad,7,4.635761589403973
Delhi,6,3.9735099337748347
Gurgaon,4,2.6490066225165565
Noida,4,2.6490066225165565
Chennai,4,2.6490066225165565
Ahmedabad,3,1.9867549668874174
